,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Year,Month,Day_Perc_Change,Trend
334,INFY,EQ,2018-09-14,742.9,741.9,745.0,729.05,735.0,733.7,735.78,7896514,5810118483.35,191430,4669337,59.13,2018,9,-1.238390092879249,Negative
335,INFY,EQ,2018-09-17,733.7,735.0,740.0,724.6,726.9,725.95,730.79,5427054,3966013456.15,124216,2572371,47.4,2018,9,-1.0562900367997785,Negative
336,INFY,EQ,2018-09-18,725.95,730.0,730.0,717.0,720.0,719.1,720.33,7729732,5567951788.65,116715,2039349,26.38,2018,9,-0.9435911564157351,Slight negative
337,INFY,EQ,2018-09-19,719.1,727.0,727.0,713.2,719.6,719.75,719.4,4849498,3488751299.15,142071,2917751,60.17,2018,9,0.09039076623555964,Slight or No change
338,INFY,EQ,2018-09-21,719.75,713.85,717.4,692.0,710.0,705.3,706.4,14350769,10137378693.65,238115,9880217,68.85,2018,9,-2.0076415422021543,Negative
339,INFY,EQ,2018-09-24,705.3,706.5,729.95,706.5,719.95,718.25,721.56,8637881,6232738762.95,183918,5604772,64.89,2018,9,1.836098114277629,Positive
340,INFY,EQ,2018-09-25,718.25,718.25,736.0,717.0,726.0,726.2,727.76,9602273,6988194861.4,223780,5283327,55.02,2018,9,1.106856943961021,Positive
341,INFY,EQ,2018-09-26,726.2,731.2,731.85,712.0,719.9,717.85,720.78,6599606,4756877824.15,110456,4301995,65.19,2018,9,-1.1498209859542863,Negative
342,INFY,EQ,2018-09-27,717.85,722.0,730.8,717.45,724.3,724.8,724.8,14592616,10576733251.7,147797,10485355,71.85,2018,9,0.9681688375008601,Slight positive
343,INFY,EQ,2018-09-28,724.8,721.0,734.55,715.2,731.7,730.05,727.98,7490031,5452629799.5,166682,4590662,61.29,2018,9,0.7243377483443725,Slight positive
344,INFY,EQ,2018-10-01,730.05,737.5,754.9,733.0,742.95,746.65,745.05,8252398,6148484239.1,160489,4483016,54.32,2018,10,2.2738168618587906,Positive
345,INFY,EQ,2018-10-03,746.65,743.8,751.95,726.3,728.55,728.5,738.21,7792464,5752480100.25,184479,4931984,63.29,2018,10,-2.4308578316480256,Negative
346,INFY,EQ,2018-10-04,728.5,728.5,729.75,702.5,711.0,707.2,711.02,6173037,4389159560.9,150299,3617395,58.6,2018,10,-2.9238160603980767,Negative
347,INFY,EQ,2018-10-05,707.2,713.0,731.5,709.3,722.5,724.6,717.57,8543578,6130589981.25,141622,4727502,55.33,2018,10,2.460407239818996,Positive
348,INFY,EQ,2018-10-08,724.6,725.05,728.7,709.25,714.65,714.45,717.09,7259306,5205581861.9,244347,4344672,59.85,2018,10,-1.4007728401876918,Negative
349,INFY,EQ,2018-10-09,714.45,717.1,722.4,702.65,721.0,717.75,711.05,6777212,4818903576.8,116349,3665401,54.08,2018,10,0.4618937644341736,Slight or No change
