Date,Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Year,Month,Day_Perc_Change,Trend,lower,avg,upper,Call
2018-04-16,INFY,EQ,1171.45,1102.0,1140.0,1102.0,1134.5,1133.2,1125.66,12372542,13927236192.55,201992,5012390,40.51,2018,4,-3.265184173460245,Among top losers,1101.9143018291618,1138.110714285715,1174.307126742268,Hold Buy/Liquidate Short
2018-04-17,INFY,EQ,1133.2,1127.0,1127.4,1115.0,1124.65,1125.2,1121.63,5198970,5831317995.9,203792,3086531,59.37,2018,4,-0.7059654076950195,Slight negative,1100.5914706728495,1135.9642857142862,1171.337100755723,Hold Buy/Liquidate Short
2018-04-18,INFY,EQ,1125.2,1122.85,1134.75,1113.85,1125.95,1125.95,1124.27,5215190,5863305787.1,121114,3220905,61.76,2018,4,0.06665481692142983,Slight or No change,1099.8328285847629,1133.9607142857149,1168.0885999866668,Hold Buy/Liquidate Short
2018-04-19,INFY,EQ,1125.95,1124.0,1139.8,1123.1,1133.4,1132.85,1132.61,4262771,4828035903.7,119470,3277709,76.89,2018,4,0.6128158443980514,Slight positive,1099.9236720048564,1134.035714285715,1168.1477565665734,Hold Buy/Liquidate Short
2018-04-20,INFY,EQ,1132.85,1139.0,1193.7,1136.95,1179.65,1178.45,1171.78,12136346,14221070741.95,213680,7374221,60.76,2018,4,4.0252460608200655,Among top gainers,1095.39097666421,1136.985714285715,1178.5804519072199,Hold Short/Liquidate Buy
2018-04-23,INFY,EQ,1178.45,1168.0,1214.4,1155.25,1185.95,1187.7,1186.79,10915319,12954180381.05,190031,5762099,52.79,2018,4,0.7849293563579218,Slight positive,1090.6744187201105,1140.3607142857147,1190.047009851319,Hold Short/Liquidate Buy
2018-04-24,INFY,EQ,1187.7,1185.0,1196.4,1150.1,1154.25,1154.5,1168.64,4263108,4982039811.2,87918,2175530,51.03,2018,4,-2.7953186831691568,Negative,1093.2329699061927,1142.5250000000003,1191.817030093808,Hold Short/Liquidate Buy
2018-04-25,INFY,EQ,1154.5,1152.0,1171.0,1145.2,1155.95,1160.35,1160.85,5797089,6729546264.95,122892,3549969,61.24,2018,4,0.5067128627111117,Slight positive,1093.2785720251668,1143.4392857142861,1193.5999994034055,Hold Short/Liquidate Buy
2018-04-26,INFY,EQ,1160.35,1174.0,1181.65,1160.0,1177.05,1176.45,1172.76,5651042,6627322945.0,120489,3710955,65.67,2018,4,1.3875123885034757,Positive,1094.870613366151,1146.971428571429,1199.072243776707,Hold Short/Liquidate Buy
2018-04-27,INFY,EQ,1176.45,1180.0,1191.6,1174.2,1184.65,1185.2,1183.9,3831685,4536321753.3,103259,2521063,65.8,2018,4,0.7437630158527719,Slight positive,1100.762280689481,1152.2535714285718,1203.7448621676626,Hold Short/Liquidate Buy
2018-04-30,INFY,EQ,1185.2,1181.7,1207.95,1180.65,1199.95,1199.5,1199.78,2755839,3306404000.25,80599,1748528,63.45,2018,4,1.2065474181572666,Positive,1106.3385017223281,1158.403571428572,1210.4686411348157,Hold Short/Liquidate Buy
2018-05-02,INFY,EQ,1199.5,1198.9,1201.6,1181.0,1192.1,1197.05,1192.72,5147521,6139572652.5,98610,3916029,76.08,2018,5,-0.20425177157149527,Slight or No change,1111.6908419345837,1163.603571428572,1215.5163009225603,Hold Short/Liquidate Buy
2018-05-03,INFY,EQ,1197.05,1197.25,1204.7,1176.1,1178.0,1182.55,1195.66,2666115,3187761546.3,114003,1634945,61.32,2018,5,-1.2113111398855514,Negative,1112.1482753412274,1165.028571428572,1217.9088675159164,Hold Short/Liquidate Buy
2018-05-04,INFY,EQ,1182.55,1185.0,1186.0,1155.0,1169.6,1173.1,1165.5,3011684,3510129248.85,92619,1501133,49.84,2018,5,-0.7991205445858518,Slight negative,1112.1971718135828,1165.146428571429,1218.095685329275,Hold Short/Liquidate Buy
2018-05-07,INFY,EQ,1173.1,1181.25,1190.0,1175.5,1184.0,1183.0,1181.67,2319480,2740857604.55,66189,1381557,59.56,2018,5,0.8439178245673862,Slight positive,1118.3729497006816,1168.7035714285719,1219.0341931564622,Hold Short/Liquidate Buy
2018-05-08,INFY,EQ,1183.0,1177.9,1177.9,1161.05,1167.5,1165.55,1167.51,2859278,3338246179.35,121067,1833756,64.13,2018,5,-1.4750633981403305,Negative,1127.789342314949,1171.5857142857146,1215.3820862564803,Hold Buy/Liquidate Short
2018-05-09,INFY,EQ,1165.55,1167.5,1176.9,1163.0,1172.0,1170.7,1169.95,1891752,2213260046.8,50914,1226653,64.84,2018,5,0.4418514864227285,Slight or No change,1139.6602757449007,1174.782142857143,1209.9040099693855,Hold Buy/Liquidate Short
2018-05-10,INFY,EQ,1170.7,1176.0,1183.0,1162.85,1170.0,1168.0,1173.06,1591431,1866843839.75,55801,925580,58.16,2018,5,-0.2306312462629245,Slight or No change,1151.2251093972827,1177.2928571428577,1203.3606048884326,Hold Buy/Liquidate Short
2018-05-11,INFY,EQ,1168.0,1172.3,1183.2,1166.05,1180.6,1180.75,1174.3,1655853,1944465077.45,51911,1040917,62.86,2018,5,1.091609589041087,Positive,1151.3290602008105,1177.4571428571433,1203.585225513476,Hold Short/Liquidate Buy
2018-05-14,INFY,EQ,1180.75,1184.35,1191.5,1170.0,1190.5,1189.3,1184.18,2216047,2624191630.9,118716,1385502,62.52,2018,5,0.7241160279483294,Slight positive,1151.2371655934594,1177.571428571429,1203.9056915493984,Hold Short/Liquidate Buy
2018-05-15,INFY,EQ,1189.3,1188.1,1208.0,1188.1,1195.2,1194.55,1196.6,2805987,3357654925.05,169798,1400617,49.92,2018,5,0.4414361389052379,Slight or No change,1156.2834812556735,1180.4321428571432,1204.5808044586129,Hold Short/Liquidate Buy
2018-05-16,INFY,EQ,1194.55,1187.25,1198.0,1184.5,1190.7,1189.95,1191.85,3102502,3697718119.85,80951,2232738,71.97,2018,5,-0.3850822485454653,Slight or No change,1160.9203949621478,1182.546428571429,1204.1724621807102,Hold Short/Liquidate Buy
2018-05-17,INFY,EQ,1189.95,1196.0,1197.45,1173.55,1180.0,1182.9,1186.19,4759799,5646033905.6,108694,3495536,73.44,2018,5,-0.5924618681457217,Slight negative,1161.6676577093463,1183.0071428571432,1204.3466280049402,Hold Buy/Liquidate Short
2018-05-18,INFY,EQ,1182.9,1183.0,1186.55,1173.0,1180.0,1183.2,1181.08,3569830,4216242216.6,118691,2739080,76.73,2018,5,0.02536139994926412,Slight or No change,1161.5612910323873,1182.864285714286,1204.1672803961849,Hold Short/Liquidate Buy
2018-05-21,INFY,EQ,1183.2,1179.55,1188.4,1170.0,1183.2,1179.5,1182.21,4237660,5009804969.8,94593,3233546,76.3,2018,5,-0.3127112914131258,Slight or No change,1162.3738139618888,1181.4357142857148,1200.4976146095407,Hold Buy/Liquidate Short
2018-05-22,INFY,EQ,1179.5,1175.0,1198.0,1173.9,1195.0,1193.85,1189.56,2818402,3352664149.55,92075,1959648,69.53,2018,5,1.2166172106824913,Positive,1162.8895658783763,1181.2071428571433,1199.5247198359102,Hold Short/Liquidate Buy
2018-05-23,INFY,EQ,1193.85,1195.0,1207.65,1181.5,1182.95,1184.9,1198.4,4769221,5715433183.9,155510,3565469,74.76,2018,5,-0.7496754198600963,Slight negative,1162.961595601631,1181.3750000000005,1199.78840439837,Hold Short/Liquidate Buy
2018-05-24,INFY,EQ,1184.9,1198.0,1227.55,1198.0,1220.0,1221.0,1217.23,4870285,5928236189.95,115622,2635888,54.12,2018,5,3.0466706051143437,Among top gainers,1157.3979315804984,1184.7964285714293,1212.1949255623601,Short
2018-05-25,INFY,EQ,1221.0,1230.1,1248.65,1220.8,1229.55,1228.3,1239.09,4450719,5514861307.65,165203,2833196,63.66,2018,5,0.5978705978705978,Slight positive,1152.1586127153444,1188.0321428571435,1223.9056729989427,Short
2018-05-28,INFY,EQ,1228.3,1231.0,1232.6,1206.0,1212.1,1214.4,1218.07,2869897,3495734649.05,114363,1860121,64.81,2018,5,-1.131645363510536,Negative,1155.5649438821806,1191.5214285714294,1227.4779132606782,Hold Short/Liquidate Buy
2018-05-29,INFY,EQ,1214.4,1214.05,1226.55,1206.2,1219.9,1216.7,1214.01,1694467,2057107218.1,97963,1020909,60.25,2018,5,0.1893939393939448,Slight or No change,1158.6403953344122,1194.8071428571436,1230.973890379875,Hold Short/Liquidate Buy
2018-05-30,INFY,EQ,1216.7,1217.0,1228.75,1205.6,1210.4,1211.7,1214.64,3161533,3840109182.0,113600,1820341,57.58,2018,5,-0.41094764526998784,Slight or No change,1164.2721692650496,1197.9285714285722,1231.584973592095,Hold Short/Liquidate Buy
2018-05-31,INFY,EQ,1211.7,1211.7,1242.0,1210.25,1238.0,1231.8,1230.2,9860170,12129968289.3,163732,6917924,70.16,2018,5,1.6588264421886434,Positive,1165.0006552716661,1201.5750000000007,1238.1493447283353,Hold Short/Liquidate Buy
2018-06-01,INFY,EQ,1231.8,1230.4,1246.25,1217.2,1222.2,1220.8,1229.79,2499178,3073466730.7,81969,1396541,55.88,2018,6,-0.8930021107322661,Slight negative,1166.6331119266465,1203.8250000000007,1241.016888073355,Hold Short/Liquidate Buy
2018-06-04,INFY,EQ,1220.8,1221.1,1243.0,1212.0,1241.0,1239.4,1233.14,2135078,2632848474.1,69180,1356014,63.51,2018,6,1.5235910878112824,Positive,1165.773665626394,1207.0285714285724,1248.2834772307508,Hold Short/Liquidate Buy
2018-06-05,INFY,EQ,1239.4,1242.0,1242.0,1217.0,1218.85,1220.85,1226.49,2355431,2888924171.6,85171,1469405,62.38,2018,6,-1.4966919477166551,Negative,1168.6153437126409,1209.235714285715,1249.856084858789,Hold Short/Liquidate Buy
2018-06-06,INFY,EQ,1220.85,1225.2,1241.55,1220.05,1238.1,1237.45,1234.18,2019092,2491929869.55,98002,1157667,57.34,2018,6,1.3597083998853288,Positive,1172.9308300744756,1213.1321428571434,1253.3334556398113,Hold Short/Liquidate Buy
2018-06-07,INFY,EQ,1237.45,1238.0,1258.0,1238.0,1249.3,1252.45,1252.57,3338113,4181210252.15,106204,1876344,56.21,2018,6,1.2121701886944836,Positive,1176.7175211092704,1218.078571428572,1259.4396217478738,Hold Short/Liquidate Buy
2018-06-08,INFY,EQ,1252.45,1248.0,1262.0,1246.05,1258.8,1260.05,1257.48,3229939,4061574692.05,146437,2152796,66.65,2018,6,0.6068106511237792,Slight positive,1183.1845465209342,1223.8321428571435,1264.4797391933528,Hold Short/Liquidate Buy
2018-06-11,INFY,EQ,1260.05,1265.55,1270.0,1255.05,1261.0,1262.4,1262.71,2585645,3264923421.0,94087,1883057,72.83,2018,6,0.18650053569304606,Slight or No change,1187.1347901943304,1228.7285714285722,1270.322352662814,Hold Short/Liquidate Buy
2018-06-12,INFY,EQ,1262.4,1265.75,1271.25,1250.45,1259.0,1258.5,1258.01,3919910,4931300156.35,90357,2684852,68.49,2018,6,-0.3089353612167334,Slight or No change,1198.032295092992,1233.985714285715,1269.939133478438,Hold Short/Liquidate Buy
2018-06-13,INFY,EQ,1258.5,1266.8,1284.0,1266.8,1275.0,1274.8,1275.2,2883464,3676982073.8,110178,1736971,60.24,2018,6,1.2951926897099677,Positive,1196.7225599968667,1237.828571428572,1278.9345828602775,Hold Short/Liquidate Buy
2018-06-14,INFY,EQ,1274.8,1253.0,1253.0,1234.1,1240.0,1239.7,1242.78,3799424,4721843710.85,142371,2234217,58.8,2018,6,-2.753373078129895,Negative,1197.8998944254963,1238.642857142858,1279.3858198602197,Hold Short/Liquidate Buy
2018-06-15,INFY,EQ,1239.7,1237.0,1291.5,1235.0,1288.8,1281.25,1267.1,9978880,12644285283.8,156513,7198132,72.13,2018,6,3.3516173267726046,Among top gainers,1199.3779869700875,1243.4178571428579,1287.4577273156283,Hold Short/Liquidate Buy
2018-06-18,INFY,EQ,1281.25,1284.0,1291.25,1262.35,1264.5,1267.4,1273.18,4107423,5229499470.65,127326,2705510,65.87,2018,6,-1.0809756097560852,Negative,1204.1401163020118,1247.0392857142865,1289.9384551265612,Hold Short/Liquidate Buy
2018-06-19,INFY,EQ,1267.4,1263.0,1263.4,1238.05,1242.0,1241.6,1244.36,3772850,4694786854.1,148052,2625680,69.59,2018,6,-2.035663563200263,Negative,1211.1549091572422,1249.1750000000006,1287.195090842759,Hold Buy/Liquidate Short
2018-06-20,INFY,EQ,1241.6,1248.5,1252.35,1238.0,1241.45,1243.15,1245.07,2685901,3344140003.85,92693,1763850,65.67,2018,6,0.12483891752579356,Slight or No change,1213.0943054761378,1249.985714285715,1286.877123095292,Hold Buy/Liquidate Short
2018-06-21,INFY,EQ,1243.15,1245.95,1256.5,1236.0,1246.55,1246.55,1247.63,2899395,3617383650.8,138481,1939037,66.88,2018,6,0.27349877327755845,Slight or No change,1218.841047025176,1251.8250000000007,1284.8089529748254,Hold Buy/Liquidate Short
2018-06-22,INFY,EQ,1246.55,1243.0,1255.5,1241.2,1246.4,1247.85,1249.94,2171559,2714312669.8,91644,1545127,71.15,2018,6,0.10428783442300027,Slight or No change,1220.1217320887176,1252.428571428572,1284.7354107684264,Hold Buy/Liquidate Short
2018-06-25,INFY,EQ,1247.85,1257.15,1278.8,1254.0,1269.7,1272.45,1271.05,3865589,4913363829.8,137153,2105988,54.48,2018,6,1.9713907921625309,Positive,1227.7995863904105,1256.1142857142863,1284.4289850381622,Hold Short/Liquidate Buy
